,contract,exchange_time,underlying_index,forward_price,spot_price,usd_multiplier,mark_price,bid_price,ask_price,bid_size,ask_size,mark_iv,bid_iv,ask_iv,delta,vega,theta,gamma,open_interest,volume,mat_id,strike,optiontype,expiry,ttm,contract_size,interest_rate
27,513.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,30.00857059152142,34.43,35.56,1.0,1.0,,,1.6848542726529054,1.0,0.0,0.0,0.0,821.0,1.0,18Jun2024,513.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
28,514.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,29.1627984026903,33.46,34.57,1.0,1.0,,,1.675726211726921,1.0,0.0,0.0,0.0,70.0,70.0,18Jun2024,514.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
29,515.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,28.31712230413817,32.45,33.6,1.0,1.0,,,1.7157159389069958,1.0,0.0,0.0,0.0,29.0,26.0,18Jun2024,515.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
30,516.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,27.47154216241795,31.49,32.57,1.0,1.0,,,1.58831461712006,1.0,0.0,0.0,0.0,1.0,2.0,18Jun2024,516.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
31,517.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,26.626057844195422,30.51,31.67,1.0,1.0,,,1.7649683082537504,1.0,0.0,0.0,0.0,52.0,1.0,18Jun2024,517.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
32,518.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,25.78066921661024,29.42,30.57,1.0,1.0,,,1.5007016859261224,1.0,0.0,0.0,0.0,9.0,1.0,18Jun2024,518.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
33,519.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,24.93537614762112,28.61,29.62,1.0,1.0,,,1.5767019765115662,1.0,0.0,0.0,0.0,25.0,22.0,18Jun2024,519.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
34,520.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,24.090178506334077,27.57,28.65,1.0,1.0,,,1.5857279805609288,1.0,0.0,0.0,0.0,205.0,19.0,18Jun2024,520.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
35,521.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,23.24507616331237,26.41,27.59,1.0,1.0,,,1.4193909985609363,1.0,0.0,0.0,0.0,38.0,5.0,18Jun2024,521.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
36,522.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,22.400068990867055,25.5,26.59,1.0,1.0,,,1.3740272954647996,1.0,0.0,0.0,0.0,18.0,4.0,18Jun2024,522.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
37,523.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,21.55515686332703,24.42,25.57,1.0,1.0,,,1.2804760798105395,1.0,0.0,0.0,0.0,30.0,1.0,18Jun2024,523.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
38,524.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,20.710339657287584,23.9,24.59,1.0,1.0,,,1.2829923124490723,1.0,0.0,0.0,0.0,19.0,8.0,18Jun2024,524.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
39,525.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,19.86561725183668,22.43,23.42,1.0,1.0,,,,1.0,0.0,0.0,0.0,523.0,152.0,18Jun2024,525.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
40,526.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,19.02098952875823,21.57,22.57,1.0,1.0,,,1.1472220849131816,1.0,0.0,0.0,0.0,160.0,3.0,18Jun2024,526.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
41,527.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,18.17645637271158,20.44,21.61,1.0,1.0,,,1.182828621639867,1.0,0.0,0.0,0.0,278.0,16.0,18Jun2024,527.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
42,528.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,17.332017671387067,19.5,20.61,1.0,1.0,,,1.1355932798060129,1.0,0.0,0.0,0.0,298.0,4.0,18Jun2024,528.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
43,529.0,2024-06-18 17:20:21.634243+00:00,SPY,548.5,548.1900024414062,1.0,16.48767331563667,18.45,19.65,1.0,1.0,,,1.1481320717600065,1.0,0.0,0.0,0.0,237.0,3.0,18Jun2024,529.0,C,2024-06-18 20:00:00+00:00,0.0003037279856988838,100.0,0.06284399986275205
