,root,expiry,strike,optiontype,mid_price,bid_size,bid_price,ask_size,ask_price,open_interest,mark_price,exchange_time,ttm,mat_id
4410,SPXW,2024-05-24,4410,P,0.0,0,0.0,874,0.05,273,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4420,SPXW,2024-05-24,4420,C,0.0,1,874.9,40,889.5,0,882.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4420,SPXW,2024-05-24,4420,P,0.0,0,0.0,1600,0.05,2385,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4425,SPXW,2024-05-24,4425,C,0.0,1,869.9,40,884.5,0,877.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4425,SPXW,2024-05-24,4425,P,0.0,0,0.0,1600,0.05,1158,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4430,SPXW,2024-05-24,4430,C,0.0,1,864.9,40,879.5,1,872.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4430,SPXW,2024-05-24,4430,P,0.0,0,0.0,1366,0.05,665,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4440,SPXW,2024-05-24,4440,C,0.0,1,854.9,40,869.5,0,862.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4440,SPXW,2024-05-24,4440,P,0.0,0,0.0,1600,0.05,1127,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4450,SPXW,2024-05-24,4450,C,0.0,1,844.9,40,859.5,24,852.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4450,SPXW,2024-05-24,4450,P,0.0,0,0.0,1710,0.05,8989,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4460,SPXW,2024-05-24,4460,C,0.0,1,834.9,40,849.5,0,842.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4460,SPXW,2024-05-24,4460,P,0.0,0,0.0,1259,0.05,558,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4470,SPXW,2024-05-24,4470,C,0.0,1,824.9,40,839.5,225,832.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4470,SPXW,2024-05-24,4470,P,0.0,0,0.0,1432,0.05,831,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4475,SPXW,2024-05-24,4475,C,0.0,1,819.9,40,834.5,0,827.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4475,SPXW,2024-05-24,4475,P,0.0,0,0.0,1441,0.05,839,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4480,SPXW,2024-05-24,4480,C,0.0,1,814.9,40,829.5,0,822.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4480,SPXW,2024-05-24,4480,P,0.0,0,0.0,779,0.05,178,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4490,SPXW,2024-05-24,4490,C,0.0,1,804.9,40,819.5,0,812.2,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4490,SPXW,2024-05-24,4490,P,0.0,0,0.0,1600,0.05,1220,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4500,SPXW,2024-05-24,4500,C,0.0,1,794.9,1,813.0,2,803.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4500,SPXW,2024-05-24,4500,P,0.0,0,0.0,1611,0.05,6222,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4510,SPXW,2024-05-24,4510,C,0.0,1,784.9,1,803.0,0,793.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4510,SPXW,2024-05-24,4510,P,0.0,0,0.0,942,0.05,341,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4520,SPXW,2024-05-24,4520,C,0.0,1,774.9,1,793.0,2,783.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4520,SPXW,2024-05-24,4520,P,0.0,0,0.0,1227,0.05,626,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4525,SPXW,2024-05-24,4525,C,0.0,1,769.9,1,788.0,2,778.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4525,SPXW,2024-05-24,4525,P,0.0,0,0.0,1600,0.05,1220,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4530,SPXW,2024-05-24,4530,C,0.0,1,764.9,1,783.0,2,773.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4530,SPXW,2024-05-24,4530,P,0.0,0,0.0,921,0.05,318,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4540,SPXW,2024-05-24,4540,C,0.0,1,754.9,1,773.0,1,763.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4540,SPXW,2024-05-24,4540,P,0.0,0,0.0,1045,0.05,444,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4550,SPXW,2024-05-24,4550,C,0.0,1,744.9,1,763.0,26,753.95,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4550,SPXW,2024-05-24,4550,P,0.0,0,0.0,1612,0.05,3396,0.025,2024-05-24 16:00:00,0.00045662100456621003,24May2024
4560,SPXW,2024-05-24,4560,C,0.0,1,731.7,40,753.6,1,742.6500000000001,2024-05-24 16:00:00,0.00045662100456621003,24May2024
